country,iso_code,year,primary_energy_consumption,co2,total_ghg,co2_per_capita,co2_per_gdp,energy_per_capita,energy_per_gdp,coal_co2,flaring_co2,gas_co2,oil_co2,cumulative_co2,pop(m),gdp($b)
Algeria,DZA,1975,70.37,32.001,91.422,2.041,0.493,4475.105,1.085,0.791,14.991,4.459,11.291,290.132,15.68,64.88
Algeria,DZA,1976,82.102,39.131,95.218,2.385,0.566,4975.73,1.187,0.586,20.758,6.063,11.035,329.264,16.41,69.15
Algeria,DZA,1977,90.213,41.845,98.898,2.459,0.555,5265.062,1.196,0.605,22.893,3.605,13.868,371.108,17.02,75.44
Algeria,DZA,1978,113.361,62.455,122.399,3.567,0.734,6429.067,1.332,0.572,23.541,23.856,13.165,433.564,17.51,85.1
Algeria,DZA,1979,148.54,45.546,109.351,2.525,0.491,8176.383,1.601,0.894,19.284,8.167,15.359,479.109,18.04,92.75
Algeria,DZA,1980,177.143,66.416,125.339,3.569,0.703,9452.979,1.875,1.608,18.686,25.479,18.62,545.526,18.61,94.48
Algeria,DZA,1981,215.186,46.342,103.515,2.411,0.478,11119.953,2.222,1.909,12.946,11.165,18.157,591.868,19.22,96.86
Algeria,DZA,1982,248.112,39.173,95.699,1.971,0.38,12405.545,2.407,1.975,9.259,7.17,18.642,631.041,19.87,103.07
Algeria,DZA,1983,270.967,52.504,120.155,2.554,0.484,13101.501,2.499,3.148,8.406,16.61,22.022,683.545,20.56,108.43
Algeria,DZA,1984,260.196,70.947,137.516,3.335,0.62,12162.377,2.274,4.027,10.981,30.51,22.768,754.491,21.27,114.41
Algeria,DZA,1985,262.297,72.609,141.183,3.299,0.603,11850.976,2.179,3.078,16.407,27.7,22.504,827.1,22.01,120.36
Algeria,DZA,1986,277.491,76.08,148.3,3.345,0.639,12126.727,2.329,2.726,14.425,33.086,22.761,903.181,22.75,119.14
Algeria,DZA,1987,285.168,83.883,157.117,3.578,0.709,12090.516,2.41,2.968,12.117,40.117,25.091,987.064,23.44,118.32
Algeria,DZA,1988,305.422,83.708,156.991,3.472,0.723,12598.338,2.637,2.975,11.061,38.972,27.285,1070.772,24.11,115.82
Algeria,DZA,1989,297.068,79.808,155.679,3.224,0.666,11935.479,2.48,2.986,11.772,36.673,25.153,1150.58,24.75,119.76
Algeria,DZA,1990,314.974,76.738,160.869,3.024,0.651,12343.162,2.673,2.942,8.695,38.908,23.204,1227.318,25.38,117.84
Algeria,DZA,1991,312.095,78.807,169.126,3.032,0.651,11942.152,2.577,2.689,8.654,38.428,26.066,1306.125,25.99,121.1
Algeria,DZA,1992,320.227,79.883,165.198,3.0,0.624,11971.857,2.502,2.378,13.898,31.932,28.678,1386.008,26.63,127.98
Algeria,DZA,1993,297.995,81.944,171.063,3.004,0.629,10893.888,2.287,1.924,12.941,36.098,27.993,1467.952,27.28,130.28
Algeria,DZA,1994,301.921,88.608,175.045,3.177,0.66,10807.21,2.248,2.286,15.665,37.386,30.45,1556.561,27.89,134.28
Algeria,DZA,1995,313.145,96.777,192.565,3.399,0.667,10996.017,2.159,1.935,17.375,47.222,27.081,1653.338,28.47,145.06
Algeria,DZA,1996,309.925,100.039,196.756,3.446,0.639,10692.724,1.979,1.407,17.653,50.567,27.407,1753.377,29.03,156.58
Algeria,DZA,1997,297.86,88.369,179.375,2.988,0.537,10105.152,1.809,1.381,14.691,39.007,30.019,1841.746,29.58,164.64
Algeria,DZA,1998,308.349,106.537,196.014,3.545,0.592,10304.176,1.713,2.11,13.249,54.641,33.09,1948.283,30.05,179.96
Algeria,DZA,1999,311.434,91.449,183.054,3.001,0.473,10262.746,1.612,2.173,12.733,50.92,22.188,2039.732,30.47,193.18
Algeria,DZA,2000,299.946,85.399,183.103,2.763,0.409,9746.524,1.438,1.96,14.287,38.534,26.828,2125.131,30.9,208.55
Algeria,DZA,2001,310.813,86.839,175.084,2.772,0.389,9961.64,1.391,2.096,11.49,41.029,28.458,2211.97,31.33,223.42
Algeria,DZA,2002,321.951,90.692,175.335,2.856,0.37,10180.35,1.312,2.609,9.878,44.653,29.495,2302.662,31.75,245.36
Algeria,DZA,2003,336.922,94.581,187.613,2.939,0.346,10510.461,1.232,2.788,11.791,44.027,31.943,2397.243,32.18,273.57
Algeria,DZA,2004,349.778,91.714,181.704,2.811,0.309,10759.022,1.179,1.924,10.866,41.209,32.818,2488.957,32.63,296.77
Algeria,DZA,2005,366.272,110.993,201.883,3.352,0.34,11113.723,1.121,2.363,10.705,61.211,31.052,2599.949,33.11,326.85
Algeria,DZA,2006,379.22,105.896,200.438,3.149,0.306,11341.98,1.097,2.7,12.116,49.306,35.233,2705.846,33.62,345.7
Algeria,DZA,2007,399.64,109.889,200.464,3.214,0.296,11759.701,1.075,3.012,10.479,51.076,38.322,2815.735,34.19,371.66
Algeria,DZA,2008,423.557,111.087,204.95,3.191,0.281,12252.297,1.071,3.008,11.582,51.551,37.363,2926.823,34.82,395.66
Algeria,DZA,2009,448.859,118.856,205.922,3.349,0.284,12753.12,1.073,1.594,9.257,54.894,44.891,3045.679,35.49,418.25
Algeria,DZA,2010,438.995,118.353,210.812,3.27,0.263,12243.156,0.974,1.216,10.151,53.368,45.365,3164.032,36.19,450.71
Algeria,DZA,2011,464.488,125.095,217.176,3.39,0.26,12710.541,0.964,1.048,12.219,56.721,46.92,3289.127,36.9,482.03
Algeria,DZA,2012,507.672,135.674,229.93,3.604,0.272,13624.909,1.019,1.037,14.287,64.114,48.539,3424.801,37.65,498.42
Algeria,DZA,2013,536.977,140.786,233.758,3.665,0.275,14130.735,1.048,0.725,15.394,65.45,51.919,3565.587,38.41,512.37
Algeria,DZA,2014,585.613,151.283,247.471,3.859,0.284,15108.635,1.101,0.546,16.353,73.831,52.885,3716.87,39.21,531.84
Algeria,DZA,2015,617.518,160.087,257.118,4.0,0.29,15616.312,1.12,0.502,17.165,78.769,55.59,3876.958,40.02,551.52
Algeria,DZA,2016,616.996,158.482,260.646,3.88,0.278,15295.143,1.084,0.0,16.073,78.677,54.627,4035.439,40.85,569.17
Algeria,DZA,2017,623.795,165.174,267.287,3.962,0.286,15164.0,1.081,0.865,16.55,82.352,55.323,4200.613,41.69,577.14
Algeria,DZA,2018,669.62,172.705,276.094,4.063,0.296,15971.084,1.146,1.451,16.391,88.885,56.233,4373.319,42.51,584.06
Algeria,DZA,2019,694.349,179.907,280.463,4.155,0.305,16259.053,1.177,1.198,16.974,91.998,59.637,4553.225,43.29,589.9
Algeria,DZA,2020,648.899,168.178,264.184,3.819,0.3,14933.807,1.159,0.542,17.53,87.024,54.125,4721.403,44.04,559.82
Algeria,DZA,2021,707.627,179.596,283.354,4.012,0.31,16017.653,1.222,1.107,15.333,96.259,57.343,4900.999,44.76,578.85
Algeria,DZA,2022,734.191,184.558,290.326,4.058,0.31,16350.52,1.232,0.775,16.194,100.626,57.407,5085.557,45.48,595.82
Algeria,DZA,2023,705.003,178.133,282.645,3.859,2.989711657883253e-10,15458.39,1.1832482964653755e-09,0.689,15.378,92.546,59.966,5263.69,46.16,595.82
Argentina,ARG,1975,402.571,94.845,289.226,3.666,0.281,15557.969,1.192,3.594,3.902,15.722,68.913,2048.135,25.87,337.66
Argentina,ARG,1976,422.714,99.699,294.326,3.793,0.296,16078.729,1.255,3.239,5.284,16.467,71.868,2147.834,26.28,336.84
Argentina,ARG,1977,441.458,100.706,297.393,3.771,0.282,16525.492,1.236,2.704,5.408,16.905,72.702,2248.54,26.7,357.16
Argentina,ARG,1978,442.127,102.556,290.101,3.78,0.3,16286.93,1.295,3.833,6.251,16.426,72.899,2351.096,27.13,341.47
Argentina,ARG,1979,474.656,110.616,295.62,4.012,0.302,17207.568,1.297,3.602,6.599,18.016,79.073,2461.712,27.57,365.91
Argentina,ARG,1980,472.019,108.656,294.76,3.879,0.293,16842.906,1.272,2.865,6.156,19.566,76.508,2570.368,28.01,371.08
